time_boot_ms,lat,lon,rel_alt_m,vx_mps,vy_mps,vz_mps,mode,true_lat,true_lon
79489,45.0000002,10.9999997,33.598,-0.02,0.02,-1.28,AUTO,45.0000002,10.9999994
79739,45.0000001,10.9999997,33.898,-0.02,0.02,-1.14,AUTO,45.0000002,10.9999994
79989,45.0000001,10.9999997,34.166,-0.02,0.02,-1.01,AUTO,45.0000002,10.9999994
80239,45.0000001,10.9999997,34.398,-0.02,0.02,-0.87,AUTO,45.0000002,10.9999994
80489,45.0000001,10.9999997,34.595,-0.02,0.02,-0.73,AUTO,45.0000002,10.9999994
80739,45.0000001,10.9999997,34.756,-0.02,0.02,-0.58,AUTO,45.0000002,10.9999994
80989,45.0000001,10.9999997,34.879,-0.01,0.02,-0.42,AUTO,45.0000002,10.9999994
81239,45.0000001,10.9999997,34.961,-0.01,0.02,-0.25,AUTO,45.0000001,10.9999994
81489,45.0000001,10.9999997,34.995,-0.01,0.02,-0.06,AUTO,45.0000001,10.9999994
81739,45.0000001,10.9999997,34.995,0.0,0.02,0.02,AUTO,45.0000001,10.9999995
81989,45.0000001,10.9999997,34.982,0.0,0.02,0.03,AUTO,45.0000001,10.9999995
82239,45.0000001,10.9999997,34.969,0.0,0.03,0.02,AUTO,45.0000001,10.9999995
82489,45.0000001,10.9999998,34.96,-0.01,0.07,0.01,AUTO,45.0000002,10.9999995
82739,45.0000001,11.0000001,34.954,-0.01,0.16,0.0,AUTO,45.0000002,10.9999995
82989,45.0000001,11.0000007,34.952,-0.01,0.31,-0.01,AUTO,45.0000002,10.9999998
83239,45.0000001,11.0000019,34.952,-0.01,0.51,-0.01,AUTO,45.0000002,11.0000006
83489,45.0000001,11.0000038,34.956,-0.01,0.75,-0.02,AUTO,45.0000004,11.0000018
83739,45.0000002,11.0000066,34.961,0.0,1.04,-0.03,AUTO,45.0000004,11.0000038
83989,45.0000002,11.0000103,34.967,-0.01,1.37,-0.03,AUTO,45.0000004,11.0000065
84239,45.0000002,11.0000151,34.973,-0.02,1.75,-0.02,AUTO,45.0000004,11.0000103
84489,45.0000002,11.0000212,34.979,-0.03,2.17,-0.02,AUTO,45.0000004,11.0000152
84739,45.0000002,11.0000287,34.984,-0.03,2.64,-0.02,AUTO,45.0000004,11.0000214
84989,45.0000002,11.0000377,34.989,-0.02,3.14,-0.01,AUTO,45.0000004,11.000029
85239,45.0000002,11.0000483,34.993,-0.02,3.61,-0.01,AUTO,45.0000004,11.0000381
85489,45.0000002,11.0000603,34.997,-0.01,4.03,-0.01,AUTO,45.0000004,11.0000489
85739,45.0000002,11.0000735,35.001,-0.01,4.4,0.0,AUTO,45.0000004,11.0000611
85989,45.0000002,11.0000879,35.003,-0.02,4.71,0.0,AUTO,45.0000004,11.0000745
86239,45.0000002,11.0001033,35.005,-0.02,4.99,0.0,AUTO,45.0000002,11.0000891
86489,45.0000002,11.0001195,35.006,-0.01,5.22,0.0,AUTO,45.0000002,11.0001046
86739,45.0000002,11.0001363,35.006,-0.01,5.4,0.0,AUTO,45.0000002,11.0001208
86989,45.0000001,11.0001537,35.006,-0.01,5.55,0.0,AUTO,45.0000001,11.0001377
87239,45.0000001,11.0001715,35.006,-0.01,5.64,0.0,AUTO,45.0000001,11.0001553
87489,45.0000001,11.0001896,35.006,-0.01,5.69,0.0,AUTO,45.0000001,11.0001731
87739,45.0000001,11.0002077,35.005,0.0,5.71,0.0,AUTO,45.0000001,11.0001912
87989,45.0000001,11.0002259,35.004,0.0,5.73,0.0,AUTO,45.0000001,11.0002094
88239,45.0000001,11.0002443,35.004,0.0,5.76,0.0,AUTO,45.0000001,11.0002278
88489,45.0000001,11.0002628,35.003,0.0,5.79,0.0,AUTO,45.0000001,11.0002462
88739,45.0000001,11.0002813,35.003,0.0,5.82,0.0,AUTO,45.0000001,11.0002646
88989,45.0000001,11.0002999,35.004,0.0,5.84,0.0,AUTO,45.0000001,11.000283
89239,45.0000001,11.0003185,35.004,0.0,5.85,0.0,AUTO,45.0000001,11.0003017
89489,45.0000001,11.0003371,35.005,0.0,5.86,0.0,AUTO,45.0000001,11.0003204
89739,45.0000001,11.0003558,35.005,0.0,5.87,0.0,AUTO,45.0000001,11.000339
89989,45.0000001,11.0003744,35.006,0.0,5.88,0.0,AUTO,45.0000001,11.0003577
90239,45.0000001,11.0003932,35.006,0.0,5.89,0.0,AUTO,45.0,11.0003765
90489,45.0000001,11.0004119,35.006,0.0,5.9,0.0,AUTO,45.0,11.0003952
90739,45.0000001,11.0004307,35.006,0.0,5.91,0.0,AUTO,45.0,11.0004142
