time_boot_ms,lat,lon,rel_alt_m,vx_mps,vy_mps,vz_mps,mode,true_lat,true_lon
79724,45.0000001,10.9999997,33.858,-0.02,0.02,-1.16,AUTO,45.0000002,10.9999994
79974,45.0000001,10.9999997,34.129,-0.02,0.02,-1.02,AUTO,45.0000002,10.9999994
80224,45.0000001,10.9999997,34.366,-0.02,0.02,-0.89,AUTO,45.0000002,10.9999994
80474,45.0000001,10.9999997,34.568,-0.02,0.02,-0.75,AUTO,45.0000002,10.9999994
80724,45.0000001,10.9999997,34.734,-0.02,0.02,-0.6,AUTO,45.0000002,10.9999994
80974,45.0000001,10.9999997,34.863,-0.01,0.02,-0.45,AUTO,45.0000001,10.9999994
81224,45.0000001,10.9999997,34.951,-0.01,0.02,-0.27,AUTO,45.0000001,10.9999995
81474,45.0000001,10.9999997,34.992,-0.01,0.02,-0.08,AUTO,45.0000001,10.9999995
81724,45.0000001,10.9999997,34.995,0.0,0.02,0.01,AUTO,45.0000001,10.9999995
81974,45.0000001,10.9999997,34.984,0.0,0.02,0.03,AUTO,45.0000001,10.9999995
82224,45.0000001,10.9999997,34.971,0.0,0.02,0.03,AUTO,45.0000001,10.9999995
82474,45.0000001,10.9999997,34.961,-0.01,0.05,0.01,AUTO,45.0000002,10.9999995
82724,45.0000001,11.0,34.955,-0.02,0.14,0.0,AUTO,45.0000002,10.9999995
82974,45.0000001,11.0000006,34.953,-0.01,0.28,-0.01,AUTO,45.0000002,10.9999998
83224,45.0000001,11.0000017,34.953,-0.01,0.48,-0.01,AUTO,45.0000002,11.0000004
83474,45.0000001,11.0000035,34.955,-0.01,0.71,-0.02,AUTO,45.0000004,11.0000015
83724,45.0000002,11.0000061,34.96,0.0,0.99,-0.03,AUTO,45.0000004,11.0000033
83974,45.0000002,11.0000096,34.966,-0.01,1.32,-0.03,AUTO,45.0000004,11.0000061
84224,45.0000002,11.0000143,34.973,-0.02,1.69,-0.02,AUTO,45.0000004,11.0000097
84474,45.0000002,11.0000202,34.978,-0.02,2.11,-0.02,AUTO,45.0000004,11.0000144
84724,45.0000002,11.0000274,34.984,-0.03,2.57,-0.02,AUTO,45.0000004,11.0000204
84974,45.0000002,11.0000362,34.988,-0.02,3.07,-0.01,AUTO,45.0000004,11.0000278
85224,45.0000002,11.0000466,34.992,-0.02,3.55,-0.01,AUTO,45.0000004,11.0000366
85474,45.0000002,11.0000584,34.997,-0.01,3.98,-0.01,AUTO,45.0000004,11.0000471
85724,45.0000002,11.0000715,35.0,-0.01,4.35,0.0,AUTO,45.0000004,11.0000591
85974,45.0000002,11.0000857,35.003,-0.01,4.67,0.0,AUTO,45.0000004,11.0000723
86224,45.0000002,11.0001009,35.004,-0.01,4.95,0.0,AUTO,45.0000002,11.0000868
86474,45.0000002,11.000117,35.005,-0.01,5.19,0.0,AUTO,45.0000002,11.0001021
86724,45.0000002,11.0001338,35.006,-0.01,5.38,0.0,AUTO,45.0000002,11.0001184
86974,45.0000001,11.0001511,35.006,-0.01,5.53,0.0,AUTO,45.0000001,11.0001351
87224,45.0000001,11.0001689,35.006,-0.01,5.63,0.0,AUTO,45.0000001,11.0001526
87474,45.0000001,11.0001869,35.006,-0.01,5.68,0.0,AUTO,45.0000001,11.0001705
87724,45.0000001,11.000205,35.005,0.0,5.71,0.0,AUTO,45.0000001,11.0001886
87974,45.0000001,11.0002233,35.004,0.0,5.73,0.0,AUTO,45.0000001,11.0002067
88224,45.0000001,11.0002416,35.004,0.0,5.76,0.0,AUTO,45.0000001,11.0002251
88474,45.0000001,11.00026,35.003,0.0,5.79,0.0,AUTO,45.0000001,11.0002433
88724,45.0000001,11.0002785,35.003,0.0,5.81,0.0,AUTO,45.0000001,11.0002619
88974,45.0000001,11.0002971,35.004,0.0,5.83,0.0,AUTO,45.0000001,11.0002804
89224,45.0000001,11.0003157,35.004,0.0,5.85,0.0,AUTO,45.0000001,11.0002988
89474,45.0000001,11.0003344,35.005,0.0,5.86,0.0,AUTO,45.0000001,11.0003175
89724,45.0000001,11.000353,35.005,0.0,5.87,0.0,AUTO,45.0000001,11.0003362
89974,45.0000001,11.0003716,35.005,0.0,5.88,0.0,AUTO,45.0000001,11.0003549
90224,45.0000001,11.0003903,35.006,0.0,5.89,0.0,AUTO,45.0000001,11.0003738
90474,45.0000001,11.0004091,35.006,0.0,5.9,0.0,AUTO,45.0000001,11.0003925
90724,45.0000001,11.0004279,35.006,0.0,5.91,0.0,AUTO,45.0,11.0004113
90974,45.0000001,11.0004467,35.006,0.0,5.92,0.0,AUTO,45.0,11.0004302
91224,45.0000001,11.0004656,35.005,0.0,5.93,0.0,AUTO,45.0,11.000449
91474,45.0000001,11.0004845,35.005,0.0,5.93,0.0,AUTO,45.0,11.000468
91724,45.0000001,11.0005034,35.006,0.0,5.94,0.0,AUTO,45.0,11.000487
91974,45.0,11.0005223,35.006,0.0,5.94,0.0,AUTO,45.0,11.0005059
92224,45.0,11.0005413,35.007,0.0,5.94,0.0,AUTO,45.0,11.0005249
92474,45.0,11.0005603,35.007,0.0,5.94,0.0,AUTO,45.0,11.0005439
92724,45.0,11.0005792,35.007,0.0,5.93,0.0,AUTO,45.0,11.0005627
92974,45.0,11.0005982,35.007,0.0,5.93,0.0,AUTO,45.0,11.0005817
93224,45.0,11.0006171,35.007,0.0,5.93,0.0,AUTO,45.0,11.0006007
93474,45.0,11.000636,35.006,0.0,5.94,0.0,AUTO,45.0,11.0006196
93724,45.0,11.0006549,35.006,0.0,5.94,0.0,AUTO,45.0,11.0006384
93974,45.0,11.0006739,35.005,0.0,5.94,0.0,AUTO,45.0,11.0006574
94224,45.0,11.0006928,35.005,0.0,5.94,0.0,AUTO,45.0,11.0006764
94474,45.0,11.0007119,35.005,0.0,5.94,0.0,AUTO,45.0,11.0006954
94724,45.0,11.0007308,35.004,0.0,5.95,0.0,AUTO,45.0,11.0007143
94974,45.0,11.0007498,35.004,0.0,5.95,0.0,AUTO,45.0,11.0007331
95224,45.0,11.0007688,35.004,0.0,5.95,0.0,AUTO,45.0,11.0007521
95474,45.0,11.0007877,35.004,0.0,5.95,0.0,AUTO,45.0,11.0007711
95724,45.0,11.0008067,35.004,0.0,5.95,0.0,AUTO,45.0,11.0007901
