name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,pdr,pdr_normal,delay_mean_s,delay_p95_s,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-20-base-w300-paper-s1,20,20,baseline,0,1,paper,300,0,30,3,,,0,8,0,12,nan,0.4,0.0,0.0,0,18,0,1062,nan,0.016666666666666666,,1.0,1.0,0.038943070921986636,0.07369599999992715,4.592730715028002,0.09888151333317273,1.0,18,0,16,1080,0
m-20-base-w300-paper-s2,20,20,baseline,0,2,paper,300,0,30,3,,,0,10,0,10,nan,0.5,0.0,0.0,0,17,0,1063,nan,0.01574074074074074,,1.0,1.0,0.03739291408325806,0.07268319999998311,4.618078588967653,0.10309150380838951,1.0,17,0,16,1020,0
m-20-base-w300-paper-s3,20,20,baseline,0,3,paper,300,0,30,3,,,0,9,0,11,nan,0.45,0.0,0.0,0,13,0,1067,nan,0.012037037037037037,,1.0,1.0,0.037352995555555206,0.07247040000000875,4.502336639079336,0.09677919878394833,1.0,13,0,10,780,0
m-20-base-w300-paper-s4,20,20,baseline,0,4,paper,300,0,30,3,,,0,7,0,13,nan,0.35,0.0,0.0,0,9,0,1071,nan,0.008333333333333333,,1.0,1.0,0.037834254222221426,0.0746959999999035,4.685322492689747,0.16830974378768737,1.0,9,0,9,540,0
m-20-base-w300-paper-s5,20,20,baseline,0,5,paper,300,0,30,3,,,0,7,0,13,nan,0.35,0.0,0.0,0,9,0,1071,nan,0.008333333333333333,,1.0,1.0,0.03833971911111289,0.07669599999985621,4.651793807223226,0.17041849768660394,1.0,9,0,8,540,0
m-20-base-w300-sliding-s1,20,20,baseline,0,1,sliding,300,0,30,3,,,0,20,0,0,nan,1.0,0.0,0.0,0,776,0,37559,nan,0.02024259814790661,,1.0,1.0,0.038943070921986636,0.07369599999992715,4.073880437383653,0.08287053908549304,1.0,270,98,148,16200,0
m-20-base-w300-sliding-s2,20,20,baseline,0,2,sliding,300,0,30,3,,,0,20,0,0,nan,1.0,0.0,0.0,0,718,0,37640,nan,0.018718389905625944,,1.0,1.0,0.03739291408325806,0.07268319999998311,4.188271933458786,0.08639853693775491,1.0,273,88,151,16380,0
m-20-base-w300-sliding-s3,20,20,baseline,0,3,sliding,300,0,30,3,,,0,20,0,0,nan,1.0,0.0,0.0,0,761,0,37563,nan,0.019857008662978813,,1.0,1.0,0.037352995555555206,0.07247040000000875,4.061298572300739,0.08110842300687439,1.0,276,101,153,16560,0
m-20-base-w300-sliding-s4,20,20,baseline,0,4,sliding,300,0,30,3,,,0,20,0,0,nan,1.0,0.0,0.0,0,824,0,37497,nan,0.021502570392213146,,1.0,1.0,0.037834254222221426,0.0746959999999035,4.182039897442311,0.14105678805230196,1.0,263,103,147,15780,0
m-20-base-w300-sliding-s5,20,20,baseline,0,5,sliding,300,0,30,3,,,0,20,0,0,nan,1.0,0.0,0.0,0,723,0,37597,nan,0.01886743215031315,,1.0,1.0,0.03833971911111289,0.07669599999985621,4.090157317653789,0.1428234269564407,1.0,265,96,150,15900,0
