nodes,attack,attackers,mode,window,dis_threshold,period_ms,tag,seeds,node_TPR_mean,node_TPR_std,node_TPR_min,node_TPR_max,node_FPR_mean,node_FPR_std,node_FPR_min,node_FPR_max,dec_FPR_mean,dec_FPR_std,dec_FPR_min,dec_FPR_max,detection_latency_sec_mean,detection_latency_sec_std,detection_latency_sec_min,detection_latency_sec_max,pdr_mean,pdr_std,pdr_min,pdr_max,pdr_normal_mean,pdr_normal_std,pdr_normal_min,pdr_normal_max,delay_mean_s_mean,delay_mean_s_std,delay_mean_s_min,delay_mean_s_max,dio_rx_per_node_min_mean,dio_rx_per_node_min_std,dio_rx_per_node_min_min,dio_rx_per_node_min_max,dis_rx_per_node_min_mean,dis_rx_per_node_min_std,dis_rx_per_node_min_min,dis_rx_per_node_min_max,parent_changes_per_node_mean,parent_changes_per_node_std,parent_changes_per_node_min,parent_changes_per_node_max,blocks_temp_mean,blocks_temp_std,blocks_temp_min,blocks_temp_max,blocks_perm_mean,blocks_perm_std,blocks_perm_min,blocks_perm_max,temp_block_time_s_mean,temp_block_time_s_std,temp_block_time_s_min,temp_block_time_s_max
20,dis,1,paper,300,2,0.0,dt2,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,0.9997,0.0004,0.9991,1.0,1.0,0.0,1.0,1.0,0.0381,0.0005,0.0376,0.0388,15.6949,2.9556,13.3889,19.8671,0.5508,0.1993,0.382,0.8306,1.0556,0.0,1.0556,1.0556,28.3333,6.1283,24,37,0.6667,0.9428,0,2,1700.0,367.6955,1440,2220
20,dis,1,paper,300,3,0.0,dt3,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,0.9997,0.0004,0.9991,1.0,1.0,0.0,1.0,1.0,0.0381,0.0005,0.0376,0.0388,15.6949,2.9556,13.3889,19.8671,0.5508,0.1993,0.382,0.8306,1.0556,0.0,1.0556,1.0556,28.3333,6.1283,24,37,0.6667,0.9428,0,2,1700.0,367.6955,1440,2220
20,dis,1,paper,300,3,0.0,p0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,0.9997,0.0004,0.9991,1.0,1.0,0.0,1.0,1.0,0.0381,0.0005,0.0376,0.0388,15.6949,2.9556,13.3889,19.8671,0.5508,0.1993,0.382,0.8306,1.0556,0.0,1.0556,1.0556,28.3333,6.1283,24,37,0.6667,0.9428,0,2,1700.0,367.6955,1440,2220
20,dis,1,paper,300,3,1000.0,p1000,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0388,0.0003,0.0383,0.0391,33.4449,8.2248,23.9263,43.9936,15.1598,5.5872,9.3871,22.7186,1.0556,0.0,1.0556,1.0556,26.0,7.2572,19,36,11.6667,3.8586,8,17,1560.0,435.4308,1140,2160
20,dis,1,paper,300,3,5000.0,p5000,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0386,0.0004,0.0381,0.0389,32.9918,7.9819,23.7131,43.1986,3.1017,1.1126,1.9498,4.6059,1.0556,0.0,1.0556,1.0556,27.3333,9.6724,20,41,11.6667,3.8586,8,17,1640.0,580.3447,1200,2460
20,dis,1,paper,300,3,10000.0,p10000,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,0.9997,0.0004,0.9991,1.0,0.9997,0.0004,0.9991,1.0,0.0384,0.0005,0.0381,0.0391,25.0851,5.815,18.2367,32.4522,1.5923,0.5535,1.0193,2.3407,1.0556,0.0,1.0556,1.0556,26.6667,8.7305,20,39,11.6667,3.8586,8,17,1600.0,523.832,1200,2340
20,dis,1,paper,300,3,30000.0,p30000,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,225.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0383,0.0002,0.0381,0.0385,17.479,3.6028,13.2934,22.0879,0.5855,0.1813,0.3975,0.8306,1.0556,0.0,1.0556,1.0556,29.3333,8.7305,20,41,0.3333,0.4714,0,1,1760.0,523.832,1200,2460
20,dis,1,paper,300,5,0.0,dt5,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,141.4214,225.0,525.0,0.9997,0.0004,0.9991,1.0,1.0,0.0,1.0,1.0,0.038,0.0005,0.0376,0.0388,16.0791,2.7563,13.3889,19.8671,0.5656,0.192,0.382,0.8306,1.0556,0.0,1.0556,1.0556,25.6667,8.6538,16,37,0.6667,0.9428,0,2,1540.0,519.2302,960,2220
20,dis,1,sliding,300,3,0.0,p0,3,0.3333,0.4714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,575.0,575.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0382,0.0005,0.0376,0.0387,15.3509,3.2068,11.8733,19.6107,0.4845,0.1755,0.3201,0.7277,1.0556,0.0,1.0556,1.0556,209.3333,15.7551,194,231,67.0,2.9439,64,71,12560.0,945.3042,11640,13860
20,dis,1,sliding,300,3,1000.0,p1000,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0003,0.0004,1.0,1.0009,1.0003,0.0004,1.0,1.0009,0.038,0.0004,0.0375,0.0385,6.3491,0.1507,6.1747,6.5424,12.697,4.6824,7.8392,19.0232,1.0926,0.0524,1.0556,1.1667,247.0,16.5731,225,265,98.3333,8.9938,87,109,14820.0,994.3842,13500,15900
20,dis,1,sliding,300,3,5000.0,p5000,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0382,0.0003,0.0379,0.0387,7.2117,0.3363,6.7572,7.5604,2.5939,0.9338,1.636,3.8601,1.0926,0.0524,1.0556,1.1667,243.0,12.7279,234,261,96.6667,2.6247,93,99,14580.0,763.6753,14040,15660
